Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0403860213344624,0.495490656840133,-0.0450666311162176,0,0,0,9.01280280594588,0.0895631286758285,-0.00137199882894574,0.00249100411054732,0.0978432794810514,-0.00016042295456057,0.0906256853508929,0,0,0,0,0,0,package://minnav_moma_description/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://minnav_moma_description/meshes/base_link.STL,,BaseLink-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
2DRadar,3.81358176767821E-05,0.0168839488939112,5.55414041841784E-09,0,0,0,0.141542870807911,6.03570230255589E-05,7.76468231305162E-08,-2.37252352294725E-11,9.22530105635559E-05,-7.76258819389751E-12,6.05891194689322E-05,0,0,0,0,0,0,package://minnav_moma_description/meshes/2DRadar.STL,1,1,1,1,0,0,0,0,0,0,package://minnav_moma_description/meshes/2DRadar.STL,,LIDAR-EAI-TG30-1,Origin_JT_2DRadar,,JT_2DRadar,fixed,0.03,-0.162,0.1775,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
ArmBase,-0.0212259398085508,-0.023220210965598,0.000303630377992841,0,0,0,0.721940197442544,0.00158920125791432,-4.11141260832954E-05,-8.76729740001719E-07,0.000690426545178568,-1.23499539645942E-06,0.00117650013078168,0,0,0,0,0,0,package://minnav_moma_description/meshes/ArmBase.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://minnav_moma_description/meshes/ArmBase.STL,,ArmBase-1,Origin_JT_ArmBase,Axis_JT_ArmBase,JT_ArmBase,prismatic,0.1056,0.0175,0.3925,1.5708,0,0,base_link,0,-1,0,0,0,-0.3,0,,,,,,,,
UniWheelBase_LB,0.0182260960322877,5.55111512312578E-17,-0.029270899984493,0,0,0,0.0847351495375796,3.49474283390519E-05,3.11041504027681E-20,-1.16340041790673E-05,6.07135705376021E-05,1.30363335304502E-20,3.34756139191196E-05,0,0,0,0,0,0,package://minnav_moma_description/meshes/UniWheelBase_LB.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://minnav_moma_description/meshes/UniWheelBase_LB.STL,,UniWheelPivot-LB-1,Origin_JT_UniWheelBase_LB,Axis_JT_UniWheelBase_LB,JT_UniWheelBase_LB,continuous,0.1735,0.25,0.0295,3.1416,0,1.5708,base_link,0,0,1,,,,,,,,,,,,
UniWheel_LB,1.35288199670791E-08,3.81426298878829E-08,-2.32971358038458E-08,0,0,0,0.131455385710739,8.23652797722568E-05,-4.32851042767412E-11,-1.47949297594817E-05,4.67613870209975E-05,-2.809067591878E-11,5.29115412162832E-05,0,0,0,0,0,0,package://minnav_moma_description/meshes/UniWheel_LB.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://minnav_moma_description/meshes/UniWheel_LB.STL,,UniWheel_LB-5,Origin_JT_UniWheel_LB,Axis_JT_UniWheel_LB,JT_UniWheel_LB,continuous,0.024,0,-0.016,-2.2739,0.26249,1.8679,UniWheelBase_LB,0.92344,0,-0.38375,,,,,,,,,,,,
UniWheelBase_RB,0.0182260960322876,1.38777878078145E-17,-0.029270899984493,0,0,0,0.0847351495375795,3.49474283390518E-05,3.02345328211204E-20,-1.16340041790673E-05,6.0713570537602E-05,6.28812266231557E-21,3.34756139191195E-05,0,0,0,0,0,0,package://minnav_moma_description/meshes/UniWheelBase_RB.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://minnav_moma_description/meshes/UniWheelBase_RB.STL,,UniWheelPivot-RB-1,Origin_JT_UniWheelBase_RB,Axis_JT_UniWheelBase_RB,JT_UniWheelBase_RB,continuous,-0.1135,0.25,0.0295,3.1416,0,1.5708,base_link,0,0,1,,,,,,,,,,,,
UniWheel_RB,1.35288200087125E-08,3.81426298948218E-08,-2.32971358038458E-08,0,0,0,0.131455385710739,8.23651467092563E-05,-4.33611722537931E-11,-1.47949693968671E-05,4.67614248550018E-05,-2.80592970201838E-11,5.29113308586732E-05,0,0,0,0,0,0,package://minnav_moma_description/meshes/UniWheel_RB.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://minnav_moma_description/meshes/UniWheel_RB.STL,,UniWheel_RB-5,Origin_JT_UniWheel_RB,Axis_JT_UniWheel_RB,JT_UniWheel_RB,continuous,0.024,0,-0.016,-1.583,0.0050581,-1.177,UniWheelBase_RB,0.92344,0,-0.38375,,,,,,,,,,,,
UniWheelBase_RF,0.0182260960322877,2.77555756156289E-17,-0.029270899984493,0,0,0,0.0847351495375796,3.4947428339052E-05,3.8797981127707E-20,-1.16340041790674E-05,6.07135705376022E-05,2.01517494285717E-20,3.34756139191196E-05,0,0,0,0,0,0,package://minnav_moma_description/meshes/UniWheelBase_RF.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://minnav_moma_description/meshes/UniWheelBase_RF.STL,,UniWheelPivot-RF-1,Origin_JT_UniWheelBase_RF,Axis_JT_UniWheelBase_RF,JT_UniWheelBase_RF,continuous,-0.1135,-0.15,0.0295,3.1416,0,1.5708,base_link,0,0,1,,,,,,,,,,,,
UniWheel_RF,1.3529E-08,3.8143E-08,-2.3297E-08,0,0,0,0.13146,8.2365E-05,-4.3361E-11,-1.4795E-05,4.6761E-05,-2.8059E-11,5.2911E-05,0,0,0,0,0,0,package://minnav_moma_description/meshes/UniWheel_RF.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://minnav_moma_description/meshes/UniWheel_RF.STL,,UniWheel_RF-2,Origin_JT_UniWheel_RF,Axis_JT_UniWheel_RF,JT_UniWheel_RF,continuous,0.024,0,-0.016,1.7124,0.058584,1.1811,UniWheelBase_RF,0.92344,0,-0.38375,,,,,,,,,,,,
UniWheelBase_LF,0.018226,2.7756E-17,-0.029271,0,0,0,0.084735,3.4947E-05,2.3781E-20,-1.1634E-05,6.0714E-05,5.1696E-21,3.3476E-05,0,0,0,0,0,0,package://minnav_moma_description/meshes/UniWheelBase_LF.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://minnav_moma_description/meshes/UniWheelBase_LF.STL,,UniWheelPivot-LF-1,Origin_JT_UniWheelBase_LF,Axis_JT_UniWheelBase_LF,JT_UniWheelBase_LF,continuous,0.1735,-0.15,0.0295,3.1416,0,1.5708,base_link,0,0,1,,,,,,,,,,,,
