Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
moma_base_link,-0.0697248975605124,9.35986032828009E-05,0.186131310444443,0,0,0,64.9999523677222,1.35069488959022,0.000479754719690234,1.48197273533961E-06,0.963094057696194,-7.03349014736132E-06,1.34062606564175,0,0,0,0,0,0,package://minnav_moma_description/meshes/v3/moma_base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://minnav_moma_description/meshes/v3/moma_base_link.STL,,MOMA_V3_Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
ArmBase,-0.0272741114005057,0.00094394189111098,-0.0308551972687778,0,0,0,0.713162476928904,0.00220534830451126,8.35547600892114E-07,-6.18305224606399E-05,0.00152386550417795,1.06604349141974E-06,0.000996301117911694,0,0,0,0,0,0,package://minnav_moma_description/meshes/v3/ArmBase.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://minnav_moma_description/meshes/v3/ArmBase.STL,,ElevatorMotionPart-1,Origin_JT_ArmBase,Axis_JT_ArmBase,JT_ArmBase,prismatic,0.034,-0.001,0.3335,0,0,0,moma_base_link,0,0,1,0,0,0,0.49,,,,,,,,
LIDAR,8.22216969754708E-05,0.0195154420160331,3.427162408858E-09,0,0,0,0.102883853456169,3.66225482144748E-05,1.0587412031796E-07,-3.58548249909878E-12,4.69758377443588E-05,-6.02604694180553E-13,3.69805831442243E-05,0,0,0,0,0,0,package://minnav_moma_description/meshes/v3/LIDAR.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://minnav_moma_description/meshes/v3/LIDAR.STL,,LIDAR_ASM-1,Origin_JT_LIDAR,,JT_LIDAR,fixed,0.213,0,0.0905,1.5708,0,3.1416,moma_base_link,0,0,0,,,,,,,,,,,,
Pantilt_PanLink,2.18543483591707E-12,9.36750677027476E-17,0.022419493625198,0,0,0,0.125638006386443,5.7984036976015E-05,-4.95095367264507E-09,1.26449088862416E-16,0.000158965664023198,9.95930618769165E-20,0.000150893790612493,0,0,0,0,0,0,package://minnav_moma_description/meshes/v3/Pantilt_PanLink.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://minnav_moma_description/meshes/v3/Pantilt_PanLink.STL,,Pan_RB-1,Origin_JT_Pantilt_PanLink,Axis_JT_Pantilt_PanLink,JT_Pantilt_PanLink,continuous,-0.021,0,1.0081,0,0,-1.5708,moma_base_link,0,0,1,,,,,,,,,,,,
Pantilt_TiltLink,-2.25379299249759E-12,0.031479884333478,1.20049803431499E-13,0,0,0,0.119003363420873,7.90464190146043E-05,-3.79029998872968E-16,7.60779981349867E-19,0.00035798448028944,2.37471710121675E-16,0.00028284413383159,0,0,0,0,0,0,package://minnav_moma_description/meshes/v3/Pantilt_TiltLink.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://minnav_moma_description/meshes/v3/Pantilt_TiltLink.STL,,Tilt_RB-2,Origin_JT_Pantilt_HeadLink,Axis_JT_Pantilt_HeadLink,JT_Pantilt_TiltLink,continuous,0,0.00025,0.0413,1.5708,0,3.1416,Pantilt_PanLink,1,0,0,,,,,,,,,,,,
Head,7.01161821037004E-06,-0.00244242053568144,-0.0752179075942135,0,0,0,0.398951454797707,0.000860013559453623,-2.53668430914557E-08,1.00973665605483E-07,0.0018274751159565,5.23242580668497E-06,0.0012846248952368,0,0,0,0,0,0,package://minnav_moma_description/meshes/v3/Head.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://minnav_moma_description/meshes/v3/Head.STL,,HeadAssem-1,Origin_JT_Head,,JT_Head,fixed,0,0.0705,0.0795,0,0,0,Pantilt_TiltLink,0,0,0,,,,,,,,,,,,
UniwheelPivot_LF,-9.15933995315754E-16,0.0182260960322876,-0.0642291000155078,0,0,0,0.0847351495375798,6.07135705376024E-05,1.38064990757287E-18,-6.23412902781099E-19,3.49474283390521E-05,1.16340041790674E-05,3.34756139191197E-05,0,0,0,0,0,0,package://minnav_moma_description/meshes/v3/UniwheelPivot_LF.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://minnav_moma_description/meshes/v3/UniwheelPivot_LF.STL,,UniWheelPivot_LFv3-2,Origin_JT_UniwheelPivot_LF,Axis_JT_UniwheelPivot_LF,JT_UniwheelPivot_LF,continuous,0.2,0.1435,0.031,0,0,1.5708,moma_base_link,0,0,1,,,,,,,,,,,,
UniWheel_LF,3.81426298323717E-08,-2.14332611103707E-08,-1.63217898571655E-08,0,0,0,0.131455385710739,4.67614248550029E-05,2.92736299371043E-11,-4.25507933450125E-11,8.85134139088376E-05,-1.15416488880503E-11,4.6763063659093E-05,0,0,0,0,0,0,package://minnav_moma_description/meshes/v3/UniWheel_LF.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://minnav_moma_description/meshes/v3/UniWheel_LF.STL,,UniWheel_LFv3-2,Origin_JT_UniWheel_LF,Axis_JT_UniWheel_LF,JT_UniWheel_LF,continuous,0,0.024,-0.0775,0,-0.11262,1.5708,UniwheelPivot_LF,0,1,0,,,,,,,,,,,,
UniwheelPivot_RB,-9.71445146547012E-16,0.0182260960322876,-0.0642291000155078,0,0,0,0.0847351495375797,6.07135705376023E-05,1.38866328531335E-18,-6.29343822979503E-19,3.4947428339052E-05,1.16340041790674E-05,3.34756139191196E-05,0,0,0,0,0,0,package://minnav_moma_description/meshes/v3/UniwheelPivot_RB.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://minnav_moma_description/meshes/v3/UniwheelPivot_RB.STL,,UniWheelPivot_RBv3-4,Origin_JT_UniwheelPivot_RB,Axis_JT_UniwheelPivot_RB,JT_UniwheelPivot_RB,continuous,-0.2,-0.1435,0.031,0,0,1.5708,moma_base_link,0,0,1,,,,,,,,,,,,
Uniwheel_RB,3.8142629943394E-08,-2.14332609993484E-08,-1.63217898641044E-08,0,0,0,0.131455385710739,4.67614248550025E-05,2.92736298794068E-11,-4.25507933484007E-11,8.85134139088377E-05,-1.15416488244326E-11,4.67630636590926E-05,0,0,0,0,0,0,package://minnav_moma_description/meshes/v3/Uniwheel_RB.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://minnav_moma_description/meshes/v3/Uniwheel_RB.STL,,UniWheel_RBv3-4,Origin_JT_Uniwheel_RB,Axis_JT_Uniwheel_RB,JT_Uniwheel_RB,continuous,0,0.024,-0.0775,0,-0.11262,1.5708,UniwheelPivot_RB,0,1,0,,,,,,,,,,,,
