Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Base_link,-0.044436,-0.0062652,0.2648,0,0,0,58.651,0.94847,0.095512,0.0011811,0.93891,3.2417E-06,1.4338,0,0,0,0,0,0,package://WholeUrdfV7_1/meshes/Base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://WholeUrdfV7_1/meshes/Base_link.STL,,BaseLink-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Radar_2D,3.81358176767543E-05,0.0168839488939113,5.55414040220947E-09,0,0,0,0.196744590422997,8.3896262005527E-05,1.07929084151387E-07,-3.29780769807581E-11,0.000128231684683343,-1.07899976052585E-11,8.42188760618159E-05,0,0,0,0,0,0,package://WholeUrdfV7_1/meshes/Radar_2D.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://WholeUrdfV7_1/meshes/Radar_2D.STL,,LIDAR_2D-1,Origin_JT_Radar_2D,,JT_Radar_2D,fixed,0.212,0,0.1475,1.5708,0,-3.1416,Base_link,0,0,0,,,,,,,,,,,,
ArmBase,-0.0213735915688368,-0.000303857997027306,-0.023239809881092,0,0,0,1.92525017908569,0.0042883271151622,2.36727747261914E-06,-0.000111008140398769,0.00317248222624626,3.33448756395564E-06,0.00186223637582919,0,0,0,0,0,0,package://WholeUrdfV7_1/meshes/ArmBase.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://WholeUrdfV7_1/meshes/ArmBase.STL,,ArmBase-1,Origin_JT_ArmBase,Axis_JT_ArmBase,JT_ArmBase,prismatic,0.031926,0.0756,0.3625,0,0,1.5708,Base_link,0,0,1,0,0,0,0.3,,,,,,,,
UniWheelBase_LB,0.0182260960322877,2.77555756156289E-17,-0.0287708999844922,0,0,0,0.0847351495375796,3.49474283390519E-05,3.57316634759339E-20,-1.16340041790673E-05,6.07135705376021E-05,1.55453116498476E-20,3.34756139191196E-05,0,0,0,0,0,0,package://WholeUrdfV7_1/meshes/UniWheelBase_LB.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://WholeUrdfV7_1/meshes/UniWheelBase_LB.STL,,UniWheelPivot_LB-1,Origin_JT_UniWheelBase_LB,Axis_JT_UniWheelBase_LB,JT_UniWheelBase_LB,continuous,-0.200000000000008,0.14349999999999,0,3.14159265358979,0,-3.14159265358974,Base_link,0,0,1,,,,,,,,,,,,
UniWheel_LB,3.81426299069648E-08,-2.14332611381263E-08,-1.63217898641044E-08,0,0,0,0.182722986137927,6.49983805484529E-05,4.06903456327858E-11,-5.914560273148E-11,0.000123033645333284,-1.60428918574936E-11,6.5000658486138E-05,0,0,0,0,0,0,package://WholeUrdfV7_1/meshes/UniWheel_LB.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://WholeUrdfV7_1/meshes/UniWheel_LB.STL,,UniWheel_LB-5,Origin_JT_UniWheel_LB,Axis_JT_UniWheel_LB,JT_UniWheel_LB,continuous,0.024,0,-0.0155,3.14159265358979,1.5707963267949,0,UniWheelBase_LB,0,1,0,,,,,,,,,,,,
UniWheelBase_RB,0.0182260960322876,2.77555756156289E-17,-0.0287708999844922,0,0,0,0.0847351495375796,3.49474283390519E-05,3.12437677540417E-20,-1.16340041790674E-05,6.07135705376021E-05,5.18171751242525E-21,3.34756139191196E-05,0,0,0,0,0,0,package://WholeUrdfV7_1/meshes/UniWheelBase_RB.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://WholeUrdfV7_1/meshes/UniWheelBase_RB.STL,,UniWheelPivot_RB-1,Origin_JT_UniWheelBase_RB,Axis_JT_UniWheelBase_RB,JT_UniWheelBase_RB,continuous,-0.199999999999992,-0.14350000000001,0,-3.14159265358979,0,-3.14159265358974,Base_link,0,0,1,,,,,,,,,,,,
UniWheel_RB,3.81426299086995E-08,-2.14332611658818E-08,-1.632178989186E-08,0,0,0,0.182722986137927,6.49983805484528E-05,4.0690345180762E-11,-5.91456027302949E-11,0.000123033645333284,-1.60428918134392E-11,6.5000658486138E-05,0,0,0,0,0,0,package://WholeUrdfV7_1/meshes/UniWheel_RB.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://WholeUrdfV7_1/meshes/UniWheel_RB.STL,,UniWheel_RB-5,Origin_JT_UniWheel_RB,Axis_JT_UniWheel_RB,JT_UniWheel_RB,continuous,0.024,0,-0.0155,0,1.5707963267949,0,UniWheelBase_RB,0,1,0,,,,,,,,,,,,
UniWheelBase_RF,0.0182260960322877,0,-0.0287708999844922,0,0,0,0.0847351495375795,3.49474283390519E-05,3.4880166385261E-20,-1.16340041790674E-05,6.07135705376022E-05,1.7847571585088E-20,3.34756139191196E-05,0,0,0,0,0,0,package://WholeUrdfV7_1/meshes/UniWheelBase_RF.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://WholeUrdfV7_1/meshes/UniWheelBase_RF.STL,,UniWheelPivot_RF-1,Origin_JT_UniWheelBase_RF,Axis_JT_UniWheelBase_RF,JT_UniWheelBase_RF,continuous,0.200000000000008,-0.14349999999999,0,3.14159265358979,0,-3.14159265358974,Base_link,0,0,1,,,,,,,,,,,,
UniWheel_RF,3.81426299034954E-08,-2.14332611658818E-08,-1.632178989186E-08,0,0,0,0.182722986137927,6.49983805484531E-05,4.06903453117738E-11,-5.91456027575944E-11,0.000123033645333284,-1.6042891784853E-11,6.50006584861382E-05,0,0,0,0,0,0,package://WholeUrdfV7_1/meshes/UniWheel_RF.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://WholeUrdfV7_1/meshes/UniWheel_RF.STL,,UniWheel_RF-2,Origin_JT_UniWheel_RF,Axis_JT_UniWheel_RF,JT_UniWheel_RF,continuous,0.024,0,-0.0155,3.14159265358979,1.5707963267949,0,UniWheelBase_RF,0,1,0,,,,,,,,,,,,
UniWheelBase_LF,0.0182260960322876,2.77555756156289E-17,-0.0287708999844923,0,0,0,0.0847351495375795,3.49474283390519E-05,3.73180431348779E-20,-1.16340041790673E-05,6.07135705376021E-05,1.77432943949963E-20,3.34756139191196E-05,0,0,0,0,0,0,package://WholeUrdfV7_1/meshes/UniWheelBase_LF.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://WholeUrdfV7_1/meshes/UniWheelBase_LF.STL,,UniWheelPivot_LF-1,Origin_JT_UniWheelBase_LF,Axis_JT_UniWheelBase_LF,JT_UniWheelBase_LF,continuous,0.199999999999993,0.14350000000001,0,3.14159265358979,0,-3.14159265358974,Base_link,0,0,1,,,,,,,,,,,,
UniWheel_LF,3.81426298913523E-08,-2.14332611936374E-08,-1.63217899196155E-08,0,0,0,0.182722986137927,6.49983805484538E-05,4.0690345293948E-11,-5.9145602742195E-11,0.000123033645333284,-1.60428918440839E-11,6.5000658486139E-05,0,0,0,0,0,0,package://WholeUrdfV7_1/meshes/UniWheel_LF.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://WholeUrdfV7_1/meshes/UniWheel_LF.STL,,UniWheel_LF-2,Origin_JT_UniWheel_LF,Axis_JT_UniWheel_LF,JT_UniWheel_LF,continuous,0.024,0,-0.0155,0,1.5708,0,UniWheelBase_LF,0,1,0,,,,,,,,,,,,
